"sumCell","tick"
1.70903072E8,0.0
1.70903072E8,1.0
1.70903072E8,2.0
1.70903072E8,3.0
1.70903072E8,4.0
1.70903072E8,5.0
1.70903072E8,6.0
1.70903072E8,7.0
1.70903072E8,8.0
1.70903072E8,9.0
1.70903072E8,10.0
1.70903072E8,11.0
1.70903072E8,12.0
1.70903072E8,13.0
1.70903072E8,14.0
1.70903072E8,15.0
1.70903072E8,16.0
1.70903072E8,17.0
1.70903072E8,18.0
1.70903072E8,19.0
1.70903072E8,20.0
1.70903072E8,21.0
1.70903072E8,22.0
1.70903072E8,23.0
1.70903072E8,24.0
1.70903072E8,25.0
1.70903072E8,26.0
1.70903072E8,27.0
1.70903072E8,28.0
1.70903072E8,29.0
1.70903072E8,30.0
1.70903072E8,31.0
1.70903072E8,32.0
1.70903072E8,33.0
1.70903072E8,34.0
1.70903072E8,35.0
1.70903072E8,36.0
1.70903072E8,37.0
1.70903072E8,38.0
1.70903072E8,39.0
1.70903072E8,40.0
1.70903072E8,41.0
1.70903072E8,42.0
1.70903072E8,43.0
1.70903072E8,44.0
1.70903072E8,45.0
1.70903072E8,46.0
1.70903072E8,47.0
1.70903072E8,48.0
1.70903072E8,49.0
1.70903072E8,50.0
1.70903072E8,51.0
1.70903072E8,52.0
1.70903072E8,53.0
1.70903072E8,54.0
1.70903072E8,55.0
1.70903072E8,56.0
1.70903072E8,57.0
1.70903072E8,58.0
1.70903072E8,59.0
1.70903072E8,60.0
1.70903072E8,61.0
1.70903072E8,62.0
1.70903072E8,63.0
1.70903072E8,64.0
1.70903072E8,65.0
1.70903072E8,66.0
1.70903072E8,67.0
1.70903072E8,68.0
1.70903072E8,69.0
1.70903072E8,70.0
1.70903072E8,71.0
1.70903072E8,72.0
1.70903072E8,73.0
1.70903072E8,74.0
1.70903072E8,75.0
1.70903072E8,76.0
1.70903072E8,77.0
1.70903072E8,78.0
1.70903072E8,79.0
1.70903072E8,80.0
1.70903072E8,81.0
1.70903072E8,82.0
1.70903072E8,83.0
1.70903072E8,84.0
1.70903072E8,85.0
1.70903072E8,86.0
1.70903072E8,87.0
1.70903072E8,88.0
1.70903072E8,89.0
1.70903072E8,90.0
1.70903072E8,91.0
1.70903072E8,92.0
1.70903072E8,93.0
1.70903072E8,94.0
1.70903072E8,95.0
1.70903072E8,96.0
1.70903072E8,97.0
1.70903072E8,98.0
1.70903072E8,99.0
1.70903072E8,100.0
